Home_logo,Home_Team,Home_Record,Home_Money_line,Home_Point_spread,Home_Total_points,Away_logo,Away_Team,Away_Record,Away_Money_line,Away_Point_spread,Away_Total_points,League
https://s.yimg.com/iu/api/res/1.2/D6paiSP2RO0.SFfA0jSyfg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210311/500x500/colorado-avalanche_wbg.png,Colorado Avalanche,(44-24),-155,-1.5 (+165),U 6 (-105),https://s.yimg.com/iu/api/res/1.2/EcO7be5WWKeC5dAJYfasAw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210311/500x500/dallas-stars_wbg.png,Dallas Stars,(41-20),+130,+1.5 (-200),O 6 (-115),NHL
https://s.yimg.com/iu/api/res/1.2/i7iMDYUKTFDnTSYjg9GELg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20220917/500x500/oilers1_wbg.png,Edmonton Oilers,(44-23),-500,-2.5 (-115),U 7 (-115),https://s.yimg.com/iu/api/res/1.2/cLMdY2ioM4W4RxqZOMtbzw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181122/nhl/500x500/ducks_wbg.png,Anaheim Ducks,(23-42),+360,+2.5 (-105),O 7 (-105),NHL
https://s.yimg.com/iu/api/res/1.2/IKxFzfyMlJGlaa2aCo2ZeQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210715/500x500/seattle-kraken_wbg.png,Seattle Kraken,(41-25),-115,-1.5 (+200),U 6 (+100),https://s.yimg.com/iu/api/res/1.2/UOIFe26WSNvFT5UTMrichA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20200508/500x500/kings_wbg.png,Los Angeles Kings,(43-22),-105,+1.5 (-250),O 6 (-120),NHL
https://s.yimg.com/iu/api/res/1.2/EHfgHymzci8quvvf7SrcAw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20210312/500x500/vegas-golden-knights_wbg.png,Vegas Golden Knights,(46-22),-115,-1.5 (+220),U 6 (-110),https://s.yimg.com/iu/api/res/1.2/a1NQw51FHmxEAgd8boQQlA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/wild_wbg.png,Minnesota Wild,(44-22),-105,+1.5 (-275),O 6 (-110),NHL
https://s.yimg.com/iu/api/res/1.2/mMh4ijiEG4eMdq_ANTPpYw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/nhl/20211001/500x500/arizona-coyotes_wbg.png,Arizona Coyotes,(27-36),-105,+1.5 (-250),U 6.5 (+100),https://s.yimg.com/iu/api/res/1.2/8hoUxKSUxOBD383NlHs7qA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181126/nhl/500x500/sharks_wbg.png,San Jose Sharks,(21-39),-115,-1.5 (+200),O 6.5 (-120),NHL
https://s.yimg.com/iu/api/res/1.2/IOMIqxUuR70IKu1bMZpnGw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181022/500x500/astros_wbg.png,Houston Astros,(1-1),-125,-1.5 (+150),U 8.5 (-115),https://s.yimg.com/iu/api/res/1.2/c9kAPd.DfNck6kdfhVsw.w--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181022/500x500/whitesox_wbg.png,Chicago White Sox,(1-1),+105,+1.5 (-185),O 8.5 (-105),MLB
https://s.yimg.com/iu/api/res/1.2/w54qnpQXt2JyfxxmlSXv8g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20191111/500x500/cardinals_wbg.png,St. Louis Cardinals,,+115,+1.5 (-155),U 7.5 (+100),https://s.yimg.com/iu/api/res/1.2/BlWnolM2uGLqlKVmLAZJFQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181022/500x500/bluejays_wbg.png,Toronto Blue Jays,(1-0),-135,-1.5 (+125),O 7.5 (-120),MLB
https://s.yimg.com/iu/api/res/1.2/gpfqYSPzIxCCKCqaqwSA5Q--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190315/500x500/cubs_wbg.png,Chicago Cubs,(1-0),+100,+1.5 (-190),U 6.5 (+100),https://s.yimg.com/iu/api/res/1.2/EVIsUTCF9j4zSmwcA5.r.w--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20200323/500x500/brewers_wbg.png,Milwaukee Brewers,,-120,-1.5 (+155),O 6.5 (-120),MLB
https://s.yimg.com/iu/api/res/1.2/u9JcbOMBBVOd3zNDj2YRgw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/yankees_wbgs.png,New York Yankees,(1-0),-140,-1.5 (+145),U 8.5 (-110),https://s.yimg.com/iu/api/res/1.2/eqEBX2oPUVRECIOj0sTkuQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190409/500x500/giants_s.png,San Francisco Giants,,+115,+1.5 (-175),O 8.5 (-110),MLB
https://s.yimg.com/iu/api/res/1.2/OVs896sb7KdjguGPXa8IeA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190314/500x500/rangers_wbgs.png,Texas Rangers,(1-0),+100,+1.5 (-165),U 7.5 (-105),https://s.yimg.com/iu/api/res/1.2/PUgatkWqAbf88Cf8nFbJxg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190403/500x500/phillies_wbgs.png,Philadelphia Phillies,,-120,-1.5 (+140),O 7.5 (-115),MLB
